,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,odessa,46.4775,30.7326,285.47,68,99,5.54,UA,1651188206
371,cesvaine,56.9667,26.3167,275.16,76,98,3.06,LV,1651188400
372,haines junction,60.7522,-137.5108,276.12,93,100,1.03,CA,1651188400
373,coihaique,-45.5752,-72.0662,274.12,86,40,1.54,CL,1651188401
374,san ignacio,17.1561,-89.0714,299.23,83,75,2.06,BZ,1651188401
375,saint-pierre,-21.3393,55.4781,296.74,74,0,3.6,RE,1651188401
376,lorengau,-2.0226,147.2712,302.01,68,100,0.73,PG,1651188402
377,gobabis,-22.45,18.9667,292.75,42,88,3.51,NA,1651188402
378,salinas,36.6777,-121.6555,288.73,57,20,7.72,US,1651188245
379,jiangyou,31.7667,104.7167,291.26,78,100,1.38,CN,1651188403
380,raudeberg,61.9875,5.1352,276.96,89,99,1.74,NO,1651188403
381,aklavik,68.2191,-135.0107,268.15,68,40,3.6,CA,1651188404
382,oltu,40.5498,42.0013,285.85,80,100,1.2,TR,1651188404
383,cidreira,-30.1811,-50.2056,292.19,88,99,4.95,BR,1651188404
384,fairbanks,64.8378,-147.7164,284.54,39,0,2.06,US,1651188150
385,college,64.8569,-147.8028,284.45,40,75,2.06,US,1651188193
386,nemuro,43.3236,145.575,278.87,60,100,4.32,JP,1651188236
387,arroyo,41.6096,-4.7969,283.41,88,0,3.6,ES,1651188405
388,bilibino,68.0546,166.4372,271.95,88,100,0.78,RU,1651188363
389,zhaotong,27.3167,103.7167,285.24,86,19,1.03,CN,1651188406
390,hobyo,5.3505,48.5268,301.62,76,4,4.63,SO,1651188249
391,dawlatabad,36.4141,64.9053,296.72,32,89,2.89,AF,1651188406
392,chantada,42.6088,-7.7712,281.87,97,3,1.39,ES,1651188407
393,bryanka,48.511,38.6722,285.14,66,97,2.37,UA,1651188407
394,north platte,41.1239,-100.7654,300.47,31,0,4.92,US,1651188266
395,yerbogachen,61.2767,108.0108,274.17,81,70,2.86,RU,1651188407
396,erzin,36.9559,36.2,291.28,57,0,0.71,TR,1651188408
397,tarakan,3.3,117.6333,297.87,88,75,2.57,ID,1651188379
398,santander,43.4647,-3.8044,284.74,91,0,0.51,ES,1651188317
399,goundam,16.4145,-3.6708,302.12,9,19,3.37,ML,1651188409
400,manaus,-3.1019,-60.025,300.42,83,40,1.03,BR,1651188184
401,maua,-23.6678,-46.4614,296.67,58,32,1.37,BR,1651188409
402,luocheng,29.3848,104.0286,290.88,87,92,0.59,CN,1651188410
403,namatanai,-3.6667,152.4333,302.32,66,100,2.47,PG,1651188195
404,san lucas toliman,14.6333,-91.1333,294.95,82,73,0.54,GT,1651188410
405,chapleau,47.8405,-83.4034,282.2,15,0,2.57,CA,1651188411
406,faya,18.3851,42.4509,286.44,58,0,2.86,SA,1651188411
407,aksu,41.1231,80.2644,285.19,52,5,3.36,CN,1651188412
408,ustyuzhna,58.8394,36.4321,270.83,64,26,2.47,RU,1651188412
409,oda,35.1833,132.5,286.58,93,100,4.82,JP,1651188412
410,toyokawa,34.8167,137.4,291.45,29,95,1.83,JP,1651188413
411,kiruna,67.8557,20.2251,266.66,68,44,4.12,SE,1651188413
412,zurrieq,35.8311,14.4742,288.88,77,0,4.63,MT,1651188414
413,bosaso,11.2842,49.1816,302.39,68,85,3.72,SO,1651188414
414,campoverde,-8.4753,-74.8058,299.98,93,99,0.93,PE,1651188415
415,waddan,29.1614,16.139,292.35,51,0,6.14,LY,1651188415
416,snyder,32.7179,-100.9176,305.37,27,0,9.26,US,1651188364
417,galesong,-5.3166,119.3661,298.16,79,89,1.9,ID,1651188415
418,lloret de mar,41.6999,2.8457,286.8,66,9,2.86,ES,1651188416
419,kazanskoye,55.6448,69.235,289.07,49,100,5.28,RU,1651188416
420,pangody,65.85,74.4859,266.97,91,100,5.3,RU,1651188417
421,marabba,12.35,32.1833,305.18,10,5,4.07,SD,1651188417
422,bokoro,12.3807,17.0568,303.56,41,100,4.05,TD,1651188417
423,zyryanka,65.75,150.85,265.32,90,100,5.52,RU,1651188224
424,ballina,-28.8667,153.5667,294.75,93,75,2.06,AU,1651188418
425,broome,42.2506,-75.833,279.49,30,0,9.77,US,1651188310
426,shimoda,34.6667,138.95,289.35,83,98,6.92,JP,1651188418
427,hammerfest,70.6634,23.6821,269.4,86,100,5.14,NO,1651188419
428,saint george,37.1041,-113.5841,301.3,6,0,6.26,US,1651188249
429,tabou,4.423,-7.3528,300.03,77,95,0.27,CI,1651188419
430,shaowu,27.3409,117.4831,290.07,96,94,2.46,CN,1651188420
431,buchanan,5.8808,-10.0467,299.8,85,90,2.5,LR,1651188264
432,vicente guerrero,19.1194,-98.1708,295.81,33,49,2.96,MX,1651188420
433,machali,-34.1833,-70.6667,286.66,53,0,1.54,CL,1651188421
434,honningsvag,70.9821,25.9704,270.01,74,75,4.63,NO,1651188421
435,anadyr,64.75,177.4833,272.43,80,0,3.0,RU,1651188422
436,arrecife,28.963,-13.5477,291.14,72,20,5.66,ES,1651188422
437,abbeville,50.1,1.8333,281.84,87,100,3.02,FR,1651188422
438,taltal,-25.4,-70.4833,290.05,86,26,2.25,CL,1651188423
439,cooma,-36.2333,149.1333,287.02,100,2,3.09,AU,1651188423
440,lat yao,15.751,99.7893,300.32,76,100,2.02,TH,1651188424
441,nova vicosa,-17.8919,-39.3719,297.96,81,0,2.84,BR,1651188424
442,garissa,-0.4536,39.6401,298.93,77,91,5.53,KE,1651188425
443,bugiri,0.5714,33.7417,291.38,97,100,2.16,UG,1651188425
444,hailar,49.2,119.7,276.45,74,100,3.16,CN,1651188425
445,port macquarie,-31.4333,152.9167,296.98,77,23,3.37,AU,1651188426
446,brae,60.3964,-1.353,280.32,82,93,1.31,GB,1651188426
447,champerico,14.3,-91.9167,305.45,63,8,4.05,GT,1651188427
448,ludwigsfelde,52.3,13.2667,279.68,80,0,1.03,DE,1651188427
449,kabwe,-14.4469,28.4464,289.32,80,83,2.89,ZM,1651188428
450,rokupr,8.6717,-12.395,299.36,88,86,2.06,SL,1651188428
451,sao jose da coroa grande,-8.8978,-35.1478,298.69,81,100,4.53,BR,1651188428
452,samarai,-10.6167,150.6667,301.33,75,20,4.01,PG,1651188196
453,yangjiang,21.85,111.9667,298.52,93,23,0.49,CN,1651188429
454,glenwood springs,39.5505,-107.3248,289.63,33,0,5.14,US,1651188429
455,manacapuru,-3.2997,-60.6206,298.88,89,97,2.41,BR,1651188430
456,haicheng,40.8516,122.7475,282.61,58,0,1.21,CN,1651188430
457,makakilo city,21.3469,-158.0858,301.33,50,0,7.72,US,1651188431
458,kulhudhuffushi,6.6221,73.07,302.21,72,21,0.14,MV,1651188325
459,prieska,-29.6641,22.7474,293.55,49,13,7.43,ZA,1651188431
460,lakatoro,-16.0999,167.4164,299.51,86,100,3.61,VU,1651188432
461,falun,60.6036,15.626,275.11,70,42,1.69,SE,1651188432
462,prince rupert,54.3161,-130.3201,282.2,76,0,6.69,CA,1651188432
463,warrington,53.3925,-2.5802,281.71,73,100,3.6,GB,1651188433
464,ratnagiri,16.9833,73.3,299.94,85,1,1.32,IN,1651188433
465,pozhva,59.0912,56.0847,268.63,96,9,1.65,RU,1651188434
466,villacarrillo,38.1156,-3.0848,281.87,79,66,2.54,ES,1651188434
467,mataram,-8.5833,116.1167,298.6,81,90,3.02,ID,1651188435
468,grand-bourg,15.8835,-61.3148,297.26,84,98,5.99,GP,1651188435
469,anloga,5.7947,0.8973,299.89,73,72,0.73,GH,1651188435
470,uberlandia,-18.9186,-48.2772,296.71,43,0,2.06,BR,1651188436
471,marrakesh,31.6315,-8.0083,288.19,72,0,5.66,MA,1651188436
472,bonthe,7.5264,-12.505,300.17,84,75,1.69,SL,1651188241
473,amberley,39.2048,-84.428,287.7,50,100,4.12,US,1651188437
474,benoy,8.9833,16.3199,300.05,63,45,2.26,TD,1651188437
475,takhtamygda,54.1,123.5667,274.87,44,94,4.1,RU,1651188438
476,lingyuan,41.24,119.4011,282.57,45,4,2.01,CN,1651188438
477,iqaluit,63.7506,-68.5145,263.0,57,75,4.12,CA,1651188185
478,nelson bay,-32.7167,152.15,294.12,88,33,1.53,AU,1651188439
479,saint anthony,45.0205,-93.218,283.29,60,0,6.69,US,1651188246
480,batsfjord,70.6345,29.7185,267.03,79,75,11.32,NO,1651188439
481,hokitika,-42.7167,170.9667,288.51,68,0,0.68,NZ,1651188440
482,felanitx,39.4696,3.1483,287.36,91,90,3.67,ES,1651188440
483,malinovoye ozero,51.6753,79.7825,285.61,44,46,3.18,RU,1651188441
484,okha,53.5739,142.9478,272.49,94,100,8.93,RU,1651188441
485,lakhnadon,22.6,79.6,302.94,17,36,2.95,IN,1651188441
486,honiara,-9.4333,159.95,302.81,67,97,1.32,SB,1651188442
487,kismayo,-0.3582,42.5454,300.57,81,100,5.2,SO,1651188442
488,taoudenni,22.6783,-3.9836,302.89,10,0,3.3,ML,1651188443
489,abu dhabi,24.4667,54.3667,301.03,70,0,2.57,AE,1651188237
490,debre tabor,11.85,38.0167,287.78,19,10,1.24,ET,1651188443
491,camopi,3.1655,-52.3158,296.24,99,89,1.16,GF,1651188444
492,yumen,40.2833,97.2,279.91,46,100,6.13,CN,1651188444
493,sembe,1.6481,14.5806,294.7,97,47,0.98,CG,1651188364
494,acajutla,13.5928,-89.8275,302.81,66,31,2.43,SV,1651188445
495,noumea,-22.2763,166.4572,295.14,89,100,7.47,NC,1651187901
496,acapulco,16.8634,-99.8901,303.05,70,0,3.6,MX,1651188367
497,jalu,29.0331,21.5482,300.95,10,60,2.16,LY,1651188445
498,antofagasta,-23.65,-70.4,289.75,85,99,1.2,CL,1651188446
499,ashington,50.9331,-0.3909,282.05,78,100,4.13,GB,1651188446
500,chara,56.9064,118.2631,269.53,67,63,1.19,RU,1651188287
501,marang,5.2056,103.2059,299.1,85,51,2.0,MY,1651188447
502,chumikan,54.7183,135.315,274.61,56,70,5.36,RU,1651188447
503,tazovskiy,67.4667,78.7,265.03,91,100,2.96,RU,1651188448
504,bandipur,27.9333,84.4167,292.48,40,1,0.43,NP,1651188448
505,kaduna,10.5222,7.4383,299.82,53,54,3.02,NG,1651188305
506,lana,46.6124,11.1559,285.93,58,11,1.46,IT,1651188449
507,hay river,60.8156,-115.7999,276.14,60,20,6.17,CA,1651188246
508,thinadhoo,0.5333,72.9333,302.38,71,89,3.46,MV,1651188449
509,olinda,-8.0089,-34.8553,301.0,74,75,4.12,BR,1651188450
510,deputatskiy,69.3,139.9,261.03,90,69,0.95,RU,1651188450
511,sayyan,15.1718,44.3244,288.88,59,11,1.14,YE,1651188445
512,spodnja idrija,46.0319,14.0272,281.34,83,9,1.7,SI,1651188451
513,hualmay,-11.0964,-77.6139,292.6,88,90,3.19,PE,1651188451
514,tandayag,9.4547,123.2299,300.57,79,99,1.23,PH,1651188451
515,medea,36.2642,2.7539,282.36,97,100,1.36,DZ,1651188452
516,vangaindrano,-23.35,47.6,292.11,84,71,3.63,MG,1651188452
517,aginskoye,51.1,114.53,274.95,67,92,6.82,RU,1651188453
518,amahai,-3.3333,128.9167,299.71,80,96,1.21,ID,1651188453
519,richards bay,-28.783,32.0377,290.6,88,0,4.46,ZA,1651188453
520,turek,52.0155,18.5005,279.6,77,74,2.01,PL,1651188454
521,ribeira brava,32.65,-17.0667,290.77,83,95,1.7,PT,1651188454
522,vallenar,-28.5708,-70.7581,293.82,32,0,0.82,CL,1651188455
523,roma,43.2128,-75.4557,280.51,34,0,8.75,US,1651188234
524,roros,62.5747,11.3842,269.06,93,75,3.09,NO,1651188455
525,salto,-31.3833,-57.9667,286.75,73,0,3.64,UY,1651188405
526,evensk,61.95,159.2333,276.24,80,91,7.5,RU,1651188456
527,pitimbu,-7.4706,-34.8086,298.48,81,42,5.26,BR,1651188456
528,fayaoue,-20.65,166.5333,295.89,89,100,14.97,NC,1651188457
529,lyubech,51.7026,30.6569,274.85,72,33,2.38,UA,1651188457
530,rancho veloz,22.8806,-80.3917,299.13,52,4,7.5,CU,1651188457
531,marsa matruh,31.3525,27.2453,291.66,73,62,5.69,EG,1651188458
532,teeli,51.0333,90.2333,277.74,41,75,1.15,RU,1651188458
533,gibgos,13.859,123.7675,299.97,85,43,2.96,PH,1651188459
534,pokhara,28.2333,83.9833,295.74,35,0,2.81,NP,1651188459
535,corrales,35.2378,-106.6067,300.86,9,0,4.12,US,1651188459
536,cockburn town,21.4612,-71.1419,297.14,59,27,5.17,TC,1651188460
537,morehead,37.2711,-87.1764,296.19,36,0,0.0,US,1651188460
538,dubbo,-32.25,148.6167,294.22,83,100,5.14,AU,1651188461
539,janakpur,26.7183,85.9065,300.06,57,0,3.19,NP,1651188260
540,mormugao,15.4,73.8,298.74,78,40,1.03,IN,1651188461
541,soloneshnoye,51.6544,84.3197,281.78,61,11,2.69,RU,1651188462
542,kropotkin,45.4375,40.5756,286.31,75,100,5.73,RU,1651188462
543,derzhavinsk,51.1,66.3167,288.65,45,100,3.2,KZ,1651188462
544,stanceni,46.9833,25.2333,277.77,97,100,1.85,RO,1651188463
545,sonoita,31.85,-112.8333,298.86,17,0,8.83,MX,1651188463
546,vredendal,-31.6683,18.5012,287.68,88,27,5.48,ZA,1651188432
547,grindavik,63.8424,-22.4338,281.41,100,75,5.14,IS,1651188464
548,los llanos de aridane,28.6585,-17.9182,288.77,91,75,4.63,ES,1651188464
549,takapau,-40.0333,176.35,286.89,62,74,1.93,NZ,1651188465
550,vodnyy,63.5046,53.4095,268.08,83,8,2.43,RU,1651188465
